top, sweater, fall, heavy blue, long 
top, sweater, fall, green, long
top, sweater, fall, patchy red, long
top, sweater, fall, brown striped, long
top, hoodie, fall, maroon, long
top, tank top, summer, red, none
top, tank top, summer, black, none
top, tank top, summer, green, none
top, tank top, summer, bright blue, none
top, tank top, summer, grey, none
bottom, leggings, any season, black, none
bottom, leggings, any season, black, none
bottom, skorts, summer, white, none
bottom, jeans, winter, black, none
bottom, khakis, fall, tan, none
bottom, shorts, summer, jungle-patterned, none